"id";"bookName";"author";"publication";"language";"location";"numberOfCopies";"createdDateTime";"lastUpdatedDateTime"
"e4b47566-4d6f-4272-b846-bd2f083cb285";"Shri Yogadrashti Samuchay";"Dhirajlal Dahyalal Mehta";"Shri Jain Dharma Prasaran Trust ";"Gujarati";"";1;"2021-08-15 17:29:51";"2021-08-15 17:29:51"
"e4d1116f-27e1-47bf-9c2d-b65af28bd463";"Shri Kevadi Prabhu no saath - Volume 2";"Saryu Rajni Mehta";"Shreyas Pracharak Sabha ";"Gujarati";"Rack 1 - Isle 5";1;"2021-08-15 17:19:08";"2021-08-15 17:19:08"
"e63da69e-edef-409b-a5d7-66f95d6526e2";"Jain Dharma: Gyansagar";"Vinod Kapasi";"Shri Jaibhikhu Sahitya Trust";"Gujarati";"";1;"2021-08-21 16:10:15";"2021-08-21 16:10:15"
"e695dae4-3142-458e-a422-d54fcaee63b9";"Aagyabhakti";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Gujarati";"Rack 1 - Isle 3";2;"2021-08-21 16:40:57";"2021-08-21 16:40:57"
"ed9b5608-d2fd-47b2-ae44-85af9f142efa";"Navtatvaa no Sarad Parichay";"Sunandaben Vohra";"Trikamlal Mahasukhram";"Gujarati";"";1;"2021-08-21 16:21:50";"2021-08-21 16:21:50"
"edbb8cba-20e6-45ab-82e1-b998f8fd415a";"Sadhnasopan";"Pujya Shri Aatmanand Ji";"Shri satshrut seva sadhna Kendra Koba Gandhinagar";"Gujarati";"";1;"2021-08-21 16:50:21";"2021-08-21 16:50:21"
"f2225f85-5cf3-4bfd-abed-31d127fe8991";"Shrimad Rajchandra Pranit AatmasiddhiShastra";"Manubhai B Modi";"Navneet Publication LTD";"Gujarati";"";1;"2021-08-15 17:55:11";"2021-08-15 17:55:11"
"f6fc2eb3-6cf8-42ca-bb40-436c0053a159";"Updeshmala Balavabodh - Purvardh";"Dr. Kantibhai B Shah";"Saurashtra Kesari Pranguru Jain Philosophical And Literary Research Center";"Gujarati";"";1;"2021-08-21 18:31:52";"2021-08-21 18:31:52"
"f8aa6ee7-2b2f-4d36-9a21-cd4091598a64";"Karmagranth - Volume 4";"Acharya Shri Vijay VirshekharSuri";"Bhartiya Prachyatatva Prakashan Samiti";"Gujarati";"Rack 1 - Isle 1";1;"2021-09-05 16:38:17";"2021-09-05 16:38:17"
"fda35975-02ad-43d9-a874-004ed69c8fe6";"Shataknama Panchamkramgranth";"Dhirajlal Dahyalal Mehta";"Shri Jain Dharma Prasaran Trust - Surat";"Gujarati";"";2;"2021-08-21 18:01:44";"2021-08-21 18:01:44"
"fe41e5e0-f303-4ff5-bd83-3f11aa52bd08";"Hu Aatma Chhu - Volume 3";"Dr.Tarulbai Mahasati ji";"Shri Vardhman Jain Shravan Sangh Chembur";"Gujarati";"Rack 1 - Isle 1";3;"2021-08-21 15:43:38";"2021-08-21 15:43:38"
